dataset,video,qp,granularity,frame,candidate_name,syntax_type,raw_modes,encoded_bytes,encoded_bits,header_bytes,padding_alignment_bits,rle_bits,dominant_bits,packed_bits
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,FULL_000,ORIGINAL_NO_MAP,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",0,0,0,0,0,0,0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,PRED_ONLY_F005,DOMINANT_SPARSE,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",3,21,36,3,33,21,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,PRED_ONLY_F010,DOMINANT_SPARSE,"[0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",4,31,36,1,39,31,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,PRED_ONLY_F020,DOMINANT_SPARSE,"[0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",6,45,36,3,51,45,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,CORR2_F005,DOMINANT_SPARSE,"[0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",3,21,36,3,31,21,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,CORR2_F010,DOMINANT_SPARSE,"[0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",4,26,36,6,31,26,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,CORR4_F005,DOMINANT_SPARSE,"[0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",3,21,36,3,31,21,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,CORR4_F010,DOMINANT_SPARSE,"[0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",4,26,36,6,31,26,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,MIX_L0,DOMINANT_SPARSE,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0]",4,27,36,5,33,27,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,MIX_L0.01,DOMINANT_SPARSE,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0]",3,18,36,6,23,18,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,MIX_L3,DOMINANT_SPARSE,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",2,16,36,0,25,16,80
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,1,MIX_L10,DOMINANT_SPARSE,"[0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",5,39,36,1,51,39,80
