split,video,frame,candidate,source,sha256
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001/selected.pt,597564839883694b6772286629bd96c0da4cd21366f4c34adbac281b2a1aa9dd
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/B6q_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001/selected.pt,00a3a4aa6e446600cf6e2117c4b556833c291f4f7ebc4ab4b271da97e38daebb
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/selected.pt,abfc882a6bb903ad93b838a6c895294d51dc658201c3a20f1578a765dbf8a918
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_3_code_optimization_diagnosis/results_v1/optimizations/Bfull_lambda3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002/selected.pt,a3892d6d47aa45e97657819fa97415fea0f06245cc7564037860191cb4c13b50
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,Z,fixed_zero,
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,E,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_2_oracle_residual_codec/results_v1/train2_full_CODED_l3/fb63c34e-0c28-4a4d-b8f8-59932b5e7875.orc,39dc121f84110d3045a64a7cf1c4edb5398aebc7640b8258f66a297f3508a98d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_4_rate_gap_diagnosis/results_v1/optimizations/adaptive_lambda1/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003/selected.pt,4013dee8bf3feccae5f2297177e78330161b2887d10464ec3a04a3848a51a300
