dataset,video,video_id,video_tag,method,qp,bytes_consumed,expected_bytes,decode_status,independent_decode_pass,state_sync_pass
uvg,Beauty,0,uvg_00,original,0,21904,21904,PASS,True,True
uvg,Beauty,0,uvg_00,original,1,29642,29642,PASS,True,True
uvg,Beauty,0,uvg_00,original,2,40313,40313,PASS,True,True
uvg,Beauty,0,uvg_00,original,3,56589,56589,PASS,True,True
uvg,Beauty,0,uvg_00,stage_a,0,23804,23804,PASS,True,True
uvg,Beauty,0,uvg_00,stage_a,1,31559,31559,PASS,True,True
uvg,Beauty,0,uvg_00,stage_a,2,44687,44687,PASS,True,True
uvg,Beauty,0,uvg_00,stage_a,3,64156,64156,PASS,True,True
uvg,Beauty,0,uvg_00,beta_low,0,18550,18550,PASS,True,True
uvg,Beauty,0,uvg_00,beta_low,1,24760,24760,PASS,True,True
uvg,Beauty,0,uvg_00,beta_low,2,32955,32955,PASS,True,True
uvg,Beauty,0,uvg_00,beta_low,3,44799,44799,PASS,True,True
uvg,Beauty,0,uvg_00,beta_mid,0,15371,15371,PASS,True,True
uvg,Beauty,0,uvg_00,beta_mid,1,19468,19468,PASS,True,True
uvg,Beauty,0,uvg_00,beta_mid,2,26455,26455,PASS,True,True
uvg,Beauty,0,uvg_00,beta_mid,3,34801,34801,PASS,True,True
uvg,Beauty,0,uvg_00,beta_high,0,9364,9364,PASS,True,True
uvg,Beauty,0,uvg_00,beta_high,1,11591,11591,PASS,True,True
uvg,Beauty,0,uvg_00,beta_high,2,15860,15860,PASS,True,True
uvg,Beauty,0,uvg_00,beta_high,3,21007,21007,PASS,True,True
uvg,Bosphorus,1,uvg_01,original,0,26465,26465,PASS,True,True
uvg,Bosphorus,1,uvg_01,original,1,34338,34338,PASS,True,True
uvg,Bosphorus,1,uvg_01,original,2,46098,46098,PASS,True,True
uvg,Bosphorus,1,uvg_01,original,3,60395,60395,PASS,True,True
uvg,Bosphorus,1,uvg_01,stage_a,0,27237,27237,PASS,True,True
uvg,Bosphorus,1,uvg_01,stage_a,1,34898,34898,PASS,True,True
uvg,Bosphorus,1,uvg_01,stage_a,2,47730,47730,PASS,True,True
uvg,Bosphorus,1,uvg_01,stage_a,3,62710,62710,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_low,0,24977,24977,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_low,1,32517,32517,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_low,2,42877,42877,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_low,3,56838,56838,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_mid,0,22837,22837,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_mid,1,30035,30035,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_mid,2,38414,38414,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_mid,3,49959,49959,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_high,0,17487,17487,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_high,1,22494,22494,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_high,2,29321,29321,PASS,True,True
uvg,Bosphorus,1,uvg_01,beta_high,3,38934,38934,PASS,True,True
uvg,HoneyBee,2,uvg_02,original,0,26780,26780,PASS,True,True
uvg,HoneyBee,2,uvg_02,original,1,32959,32959,PASS,True,True
uvg,HoneyBee,2,uvg_02,original,2,41126,41126,PASS,True,True
uvg,HoneyBee,2,uvg_02,original,3,50898,50898,PASS,True,True
uvg,HoneyBee,2,uvg_02,stage_a,0,27448,27448,PASS,True,True
uvg,HoneyBee,2,uvg_02,stage_a,1,33618,33618,PASS,True,True
uvg,HoneyBee,2,uvg_02,stage_a,2,42153,42153,PASS,True,True
uvg,HoneyBee,2,uvg_02,stage_a,3,52338,52338,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_low,0,25969,25969,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_low,1,31779,31779,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_low,2,39283,39283,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_low,3,48738,48738,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_mid,0,23151,23151,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_mid,1,29388,29388,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_mid,2,37211,37211,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_mid,3,47273,47273,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_high,0,19217,19217,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_high,1,24928,24928,PASS,True,True
uvg,HoneyBee,2,uvg_02,beta_high,2,31985,31985,PASS,True,True
