scope,dataset,video,method,qp,frame_count,bytes_consumed,expected_bytes,state_sync_pass,finite,decode_status
validation,validation,validation_0,beta_low,1,8,12534,12534,True,True,PASS
validation,validation,validation_0,beta_low,3,8,21012,21012,True,True,PASS
validation,validation,validation_0,beta_low,1,8,12183,12183,True,True,PASS
validation,validation,validation_0,beta_low,3,8,20176,20176,True,True,PASS
validation,validation,validation_0,beta_low,1,8,12397,12397,True,True,PASS
validation,validation,validation_0,beta_low,3,8,20344,20344,True,True,PASS
validation,validation,validation_0,beta_low,1,8,12442,12442,True,True,PASS
validation,validation,validation_0,beta_low,3,8,20715,20715,True,True,PASS
validation,validation,validation_0,beta_low,1,8,12501,12501,True,True,PASS
validation,validation,validation_0,beta_low,3,8,20757,20757,True,True,PASS
validation,validation,validation_0,beta_low,1,8,12534,12534,True,True,PASS
validation,validation,validation_0,beta_low,3,8,21012,21012,True,True,PASS
validation,validation,validation_0,beta_mid,1,8,12429,12429,True,True,PASS
validation,validation,validation_0,beta_mid,3,8,20743,20743,True,True,PASS
validation,validation,validation_0,beta_mid,1,8,12183,12183,True,True,PASS
validation,validation,validation_0,beta_mid,3,8,20176,20176,True,True,PASS
validation,validation,validation_0,beta_mid,1,8,12283,12283,True,True,PASS
validation,validation,validation_0,beta_mid,3,8,20517,20517,True,True,PASS
validation,validation,validation_0,beta_mid,1,8,12454,12454,True,True,PASS
validation,validation,validation_0,beta_mid,3,8,20791,20791,True,True,PASS
validation,validation,validation_0,beta_mid,1,8,12344,12344,True,True,PASS
validation,validation,validation_0,beta_mid,3,8,20671,20671,True,True,PASS
validation,validation,validation_0,beta_mid,1,8,12429,12429,True,True,PASS
validation,validation,validation_0,beta_mid,3,8,20743,20743,True,True,PASS
validation,validation,validation_0,beta_high,1,8,12287,12287,True,True,PASS
validation,validation,validation_0,beta_high,3,8,20405,20405,True,True,PASS
validation,validation,validation_0,beta_high,1,8,12183,12183,True,True,PASS
validation,validation,validation_0,beta_high,3,8,20176,20176,True,True,PASS
validation,validation,validation_0,beta_high,1,8,12385,12385,True,True,PASS
validation,validation,validation_0,beta_high,3,8,20463,20463,True,True,PASS
validation,validation,validation_0,beta_high,1,8,12218,12218,True,True,PASS
validation,validation,validation_0,beta_high,3,8,20544,20544,True,True,PASS
validation,validation,validation_0,beta_high,1,8,12365,12365,True,True,PASS
validation,validation,validation_0,beta_high,3,8,20382,20382,True,True,PASS
validation,validation,validation_0,beta_high,1,8,12287,12287,True,True,PASS
validation,validation,validation_0,beta_high,3,8,20405,20405,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,0,64,47024,47024,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,1,64,57653,57653,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,2,64,76829,76829,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,original,3,64,96549,96549,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_low,0,64,47024,47024,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_low,1,64,57653,57653,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_low,2,64,76829,76829,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_low,3,64,96549,96549,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_mid,0,64,47024,47024,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_mid,1,64,57653,57653,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_mid,2,64,76829,76829,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_mid,3,64,96549,96549,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_high,0,64,47206,47206,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_high,1,64,57584,57584,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_high,2,64,76726,76726,True,True,PASS
test,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,beta_high,3,64,96493,96493,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,0,64,41938,41938,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,1,64,52078,52078,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,2,64,64056,64056,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,original,3,64,78986,78986,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_low,0,64,41938,41938,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_low,1,64,52078,52078,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_low,2,64,64056,64056,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_low,3,64,78986,78986,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_mid,0,64,41938,41938,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_mid,1,64,52078,52078,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_mid,2,64,64056,64056,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_mid,3,64,78986,78986,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_high,0,64,41393,41393,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_high,1,64,52246,52246,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_high,2,64,63508,63508,True,True,PASS
test,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,beta_high,3,64,79280,79280,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,0,64,27630,27630,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,1,64,35312,35312,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,2,64,45636,45636,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,original,3,64,60467,60467,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_low,0,64,27630,27630,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_low,1,64,35312,35312,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_low,2,64,45636,45636,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_low,3,64,60467,60467,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_mid,0,64,27630,27630,True,True,PASS
test,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,beta_mid,1,64,35312,35312,True,True,PASS
