scope,dataset,video,method,stage,qp,bytes_consumed,expected_bytes,state_sync_pass,finite,decode_status
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,1,12183,12183,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,3,20176,20176,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,1,12411,12411,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,3,20556,20556,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,1,12768,12768,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,none,A,3,20854,20854,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,12768,12768,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,20854,20854,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,11899,11899,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,19774,19774,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,11985,11985,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,19867,19867,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,11892,11892,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,19712,19712,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,1,11374,11374,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_low,B,3,18900,18900,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,12768,12768,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,20854,20854,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,11059,11059,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,18790,18790,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,10526,10526,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,17759,17759,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,10119,10119,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,17200,17200,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,9891,9891,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,16899,16899,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,12768,12768,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,20854,20854,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,10185,10185,True,True,PASS
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,16809,16809,True,True,PASS
